8;WWJRMFEA;YYQPCBKB
9;PUFJMIXSK;DXBUBGEBW
10;SIQVGWPBFB;JAMAZUDIBJ
11;YCKWUANNXLF;OPXCGRWSBOS
12;KOQXBMPVOFGZ;ZATPDEAFVUYP
13;MXDQRUVBCZBFO;XVENROSXTSSJI
14;TWARQNFIAZKVTV;PEOGMWQXRJIACK
15;TGHPZTMCTWUJQCT;FUOMFBGISHQSTES
16;GJZELPJWPIBMKCNV;AECQVEPTMIQXHNQI
17;DKGCSRRFHETUGMPEJ;EYAKKFPLNGRBUGBIB
20;WYGOYXTGLMFAQWITUGDK;MIEKZJZGWFHMXFDKGKQN
40;OCRPITYQIQJXDVIUADJSOYGJSHDMCIFPNJLXPLRG;HIGWFSWZDIZLPUQBXKTOWHKPNHGIWEXLGJHAUEEK
50;VRSDCKAUKCSCWTDATQBTCOAKXNPLKHKUVJZJPDNUKJXTQVSYPO;UQKAJFPFJLOOIMJSBSQLBTVZFWGRIMZAJWAYFTRRUFSDCWWRDX
100;HUYMCAYFUNRKBBEVQWJIJQTKNTNYSCLDCEAMTJUPQAQPBCLTKMYRIZHWRHYALLFQBZZBBJBJRZRMUPXLFOJJZXDXCQYPVXGNKIWV;KVRKKUNTRDTFKEIBILUGNNWDOSCWTOXMERPCUVTNSFZSSWZVWZDQZXBMWXRJNQYOMJXHNHDKDTUACUBFZOPWOKGOATQLRYLPVLVR
200;TUNOADIZVYDTPPJXGNQYBQDDIDZSSWJDJHODPRYCATVIZJAVEARCBKKZUIWPHTQHALGKSNKLTMYCYVUGDFKNLTZGEKDDQGMVDDQEMVOLKWGJEKCEJXYNDVBHEBJZTWWDUWHDZUFPQYTAAALSSOOKVBTHKBAYPCYBLFUQFREFNLGGQMFDVPDRHOUHJFSVTXLTMRMTIANH;UGNDGRUFCWJNPNZTFECEBAAPDPOVGVJGEAJHZMKOUVFUNQDXZUXNOLEQYMMKXEPGZWVXGSOVPDNUHFNQPCMLCHHKGEKHBLINMJPXVMCGBAQBYTVLFLDDGSMHGBPUMJDCTMCHLBDGCHXLBMVITMSOLECZSDOJCJXIREDXDFZVMRWLBHLHUVSJHXPDNWEIGLBZHDNFDZKH
1000;WGKEQZBLEYNPHJOYBHKGJEDDXYASMFFHRHSMLBUTHOACTOJVKQNUGERKQZGGUQPVVPLYYGVXOSBSRRSQYQBKSBEQBPTHOQEJWNPMAZPUHAYLPKREHRETCDJHVQIMQEIFARDOSTGFXPBKRPNXBNYEFGSSCKGYJWSRRNHKHREAFFBOHOUNBUPGIGKWLWTFJRAAYVRJIOOWMYREGTHKFQQJBFTNGFHYGDSSUKQXOHCYLXOIVZDHJXATIRXMUHUCKXEUAALJFAZTIGJNOBHZFKLAYNACLVNATIPZXDIKAMZNDCLDKDXTHHIDLSRDDGEGNWLZSJYKHVFLCRNPAMKWIDJFOJNIPQFILGWYYOHGKXAHPCRZLSUCLHFGSLRYAIESLAZWZLQYWQAENSWTCQAMMDSVNLAVDCEPTQPEWJBUGKQSVBRWNRQHBNNUSMMJWCMVKEIDZJTFCVCWLDGOUQYKOYYSUWGPMUPOYHTQBEQQFEZRRXIPFPGIOGKQVCWDGZILCALTAZKUBVPIQAFBYKFNRACCBSYNOPTAMFUSMSLKUULFPOHQIKAXLQXMPCURTUVIUPMUWAXFBJAFNVYSPAHAYVSDKADNKPNWPPVMOFXXAHHEULNNSQKUGGAHIWPVTOGNQWDSSNUPOVPGDLMJJZVNNPBBGFVIZQPTDNSMHXBVTRTPLSOFFTSGGLBZXULLNMKJYGHPVUMCWETQECTBSMOQVPQNWUJYDHNUPFOTBVTCOQRJMDDKCPKNOYAXINHXGMZXPAUWJRHZAYNCXNFHSCTFIZKHQZWCTVBLRURSRGOAQBCXOVNPUSMWWCJQYENKTOXGAIBVOELMYDUFQLMIDNKCEBADJXEFWQFNFIRTMQNETXYMAVEIKJKGFFNMEULYCBNPZWYJTDPCAYTLCYIXVFIAWVRVBYZJDHKZHJCNMTZQHBKNHQPDAQIMMHHIZCIXTNAYVBUHAQRFTUYASXRWOPKSGJCQVSZBNSBEUXRNVNHUUXGV;QBRWWQAGSKNAENUMRPOWQZOAWRTZJHXIVNOZMYFGLRUFSDDHDHDMSBKJTXXFENJBBHVLXOWYNFSPYRABQPEFUFXFFIUZCJDWIKYSWZNHSUNERFLJPSHKFICKYPVPFDRKHTZWPIPZEBBGSGTWLNNWMRQLWMRYGJWUAKJDUMIJMTQFEYVRHEZSZOUULTANSBYDYXXQCTBBANQSGKYSBPYYGSPKITETTMFTCORFFCMYXTLAZZXDCTLTHAQTTXJYGHXLYFIVYXORUJFTJFLGOYZFFRTLWYSVTWPQFBIRFHPAFCZUJJXKYUCAKEHOIGPXYHVNKWZYSNOUPAHCNPOOCWIHZRFZZQCGWQQAEBRTIWOJVCVJWJFXPAGJODAVNRHWMULVFTGNDBWZQBGZGHMHEKJREMCZGGHEARZNCHCAGJTWCUZIXEOKDIBCUVEAHXJKZRFKDZIJSAOFRHLHVPRMRXADVIVZOLOLHRDJISFIODMLLGGFIDHSNFHFKLNWPJINCVSLZSJUNRIOWJLEKHOSCTKWTZZQSJIYBCHOKDBNNHNUFBEOPRLOJMQAYXJYAOONOTRVCFTCPNLGZOGGKXAEFQEPYEXFTQPLVXZJIDMTKKMUWTDGJBZWBMIROXEYJZQMAXIHJNJBWEGYZXKHRNIVHKCZZXPEQDGMETDGPTXYINKFWEYOUIWITHQJFZYDAUMILSQYOKKMVQYLMJWFHLVDIYUMBVKJEJXRAJXUKJDBTUWOZFKHZRHIQHIDGGKWFBGZFHFHBYDJXBMLPDJVYMOBIVCDTDHYGGKRUDNSWOKZTRXDLELJCOGZOVFFAGKHMFKCEHSGOIJZNPAICUENWOYBQCUUMGTVJGRMXMGUORELELOHNQZHAFEGXHYYNSGREIRQWSAGABRDTZSUBPJFYFHEMROGVFOFAPDNECDWSJVDAVZEPUSYCKVMZTBZISJVIYRAMLNFPMJAGPWFWJUMEXRYZIVOGYENJGUSACXDEDTNPYTQ
2000;LTEYHZZPIDIWPVVVHQHNJVMYYVYPCFVMQECBVAWSMOKVHKTCZXCPRVXBTZSRQKMBUBVXCSURYRXAEWIRQEANSGLWDPJCGIWQBWJYVCPVMYDKMAQBCPGXTRIQGPJAAHCLJFTSRBTQDEPGUKPEVAISSSOCCDRCKWFQBCSQKQBVNREOFZYZDEJDCKPZWYRRSPSSKERUJATFIBNWEEJUXOYWGRNABLTGIBEMWSAWMBUDGURWMEJJYHOVBJKJZSLEQJHPMNTVGERXOBXUQGQDLGCMSZRXDFAPBGJWYAJDACQWCRKWAEKBCOLKOBJYZIXKRSIABFHUOFBYLIJUKLAEMFNCKYUWVSDLEGLGYVXWUDAJWQAMSTFGYODTSMTBZFZWDOSUVXPZWZMGIBANPZSPYVFOUNPRYVMPONCNHZNWKYAZUQYKGCGKIRBZWFYQGNXVDUPCBQRFIJFOOSMLOMWRGWCGLTFQIOSDUQMSOVLMRKEVRIHHRNKISCSDILPUOHMRVSFDOJHDOGYKGEPWJHFXSIFYCUTJUMZJYHZSZADJTJPNZDALJFCNPNLEZQPODTVGCGRVQNRAXBYYHQVAFYFUAWEDEZTOITKANHTJCYBZMTSXAZXRFRXQYCUWTEXZFDUIXOANHGRKLWAHGEDLIIIRPNBVZGVJKPKYXGJQEJDLEQCWSWQPMZQSIVTNVRBNXJRWXMTVIUIMCKUQJAGQJMGRRDKTMVCQUTITKDOHJJZQMSILPNZAOYQKLZVTVBEBZHVOBGLQRYMMQNQAZQKGZNKQVEGPJHRCMJNGWWIWJSZMTNGQGAUUOHZXZXXCUMCYOLIWEXDAIWBLBLQBLEDHUYCTEWVCOJRKKELOPBSKJBIJLCHBNNODQLWMJOYQOPFQIEJXCKHWGHMEYENUYYXIYIDTVGSCZUXDUSGULSEMKVGMYWLYVSTOGZGKKWDFTIFAHEDOINCEQQLAOSOZZWGDIOTMUJUPGBCCBVCPVOEQQGOYIZTWJUVSBMAAFVDFWKYPHVVUOZRFZZTILAAPOCFFWVJUIDZZUVFPOUHZEHLIILFRMVBCVRWJDMSIWPQGFQFJCNAJXIPMPNDYBHIOUSVWLXFEPGONHXPSGIEDUGRCPVYBIABZMHGCHMTJREJSYIVBIFWJQQSPWQZRHBUSLGOOXLGDOFAOBJFSESCNJOSXOAFVDFNEDTKSNRKRFWWSGGUKIVUCNBLFPIEWQGAYWNJGFEEGXNFNWWXBNDXUKVQEJGMLCKWYQSKFQVQYUZGHEVYOEUPIPHUZVHEXNPNTXLMFDRWADNKJJFOOGLURTZBDKWVFYAYIDQKIDNHKEYLQHUZSQDEPGPAAGEEPLCAGDKCTONSEMDAWMWFFAWLZLMAHAUDAOCHSBPKRGBJZYIGLBMOQVLQCDPYRHDHKXUDYVXTOIJYJUYFXCCWDROMUNSSFTFCEQVEPZRWZUTNVWSKQSVXJGPRPYEDURLEHCSYTRWUAETODVCIYRJIGXAZMIZROOFKDCUYADVWFJZTDQMPSKNRSUVLCVVZBUTLOJNQROTYAAVQXDBLOLLHMWDEJGLARDJSJWYMNFILYXWJMGAKLJGNIXETRRHVZLPSUMCTUASULWPENYZXJKMTKHPENRUIITAUXPFBQIRKCAAYTNVHZEBHREYTMUXGJFBWKRQRKTIXHQXRCEUPEYCWSQLOCDXVQROBAUYHWKIXJRKNPJQANXJJLCPYTAOFBOGWNBLWYAPGUTOGJGTHOWLGTFJFPBGHFUOEODSFAOPZVJRVNSUEBTUTUXEAEEHRYKUWUPGNCQMMMNISLJNQHXAWFKXITDVENHBLKXAVKUNAXQFBHDKKIEMNPINJKVJXJGYXCLKVYLNHXXVYJDIGAZXNKIXWXLWTZPDHMSKXWFBISXVHLWCGTQTUQLFLOBXTYKOWTZUBEZOSJISYXLIUBTOJZZCSREDPBIDWTBCOMNYTKAWHDSQPXIDXOXXYYQJSKIGVUZJOQHKIGVSGA;OZDEFGOSOFOSVQRTTRPOVZZKBXNXRNZWCPISTHULJESDJDLCUJGABWRJQKBZMZHGWCSBDFMHMOZEIFRAOVBYWMQMZQYAKUWWESOCEMNXCJYBSRTNOHJXUSRITOCQATVODRGEHVZZVVPQKWEIKFGRYRKAFFMAADFINFQLJDQKRRWXEHAOOEUXRHECSXFSILQFLXBNSFGHDMIVFBPQSPKQZIYLJWSVBNCDOCYKWMULJVXPUBRRCSEYCGTWWLDAZLLAIAWISIRPEHPELUMULEMSXUFXKYVGLNGVLPSTURYQDEPPRSUAWKBGITWTKOUQWEHIEKNCDLIIQRRFZHHRPZUSEEFDHGVNXQAIOSDLXTLXRYRLAAZIFLZMQMSKFWGHENTRJILNTZITZWEXULTQGHSCGWVNMFQEHNOYHELGFTKQGLBGGHBPIHTUCVDELQTCWJNUHWMJNBPANQQDODDSWXESJMTOXNMLMQNVVLDCQRFLUWHPOOQITXDEWSAQGGITVAQLITWFIZMCBCOEBPDSDMFXHLTBGPCFLFGNPTNQCWAVXVFUMCCWJUKQVIECJMJYMWDGSTROINJDTXDVWMZJGNMLLODXFNFAEODRTNTLSCWUIQBPDXJOCERWNOJZENZVRXAMYWKUSMCFOABVNAHTUBDFWLGROJQMZUKXDQUYNRTABFUQPMXUCLEHUZLUQDDZEVABUTTJKHPUEEFPJEWMCNCIOAAFYQAXAVRIVESFPDESBPMKVMNXYINUBPJUCZFLTWROZGKNGLSECIYPLFUQODRKIHHEKXZUFOCJMPFCHAGGFACCQDKUMNIRHVPNCAULKEHNJALQLXHFGSXJLMEIQGIEWSPVJLNVOUEJCFIPYWPYKATFBQBRWFYALHUCFJDSWGIJWWCBFIHNBINQVDYDEVISNFLMRPQAEUWPUXSLXUNTGLHMROARDQIYZGTZEGYXEZTTYIKMJOQUAEMGONOFUDCRFMYXPKAGTTSCYBTCNANFNTCVESJHLIKJYBJIJWKBFXBOKMALKZRSHMCGVTSDULITKPIOMVLLUKUHPVSZTIPLUUQCWLRNJBIQIVCRSSJZYKILYBMZUDPSTYNOHPTDRDQOMLSEFGKHIYHIUECYNAHMSCSUQVUDRUGFBAKXVPDFBZWPKVQXLVWYGDCGCJBVBNRJLPANIXKUNTHHLBIJPBQAQILLHEEBIPEHIIDWBZALTOTFVKDMUSCZTONSOGPNOOAHYOFKKYAPPFJOGXXTJHBIKEOXPAKKDREZDHZGDDELULNHZNDMIIAVCHXRMKUEMLCSHAIUIRTBHATBVYCZCWBFJOKUXAVWEZDYSCLCPWCXCGVVXCDQKCMRVIESERRVKWRVGVGHMLXHOGCBFLXUQDTERKYOHNRRQMTSYTFXXIJBWNLGVUKDBTBRMARRQRULIMFRPPPBWCYPTZHLTWDCBUKZCFUZIMAHBMHVUJTZFDAXZMQNSILGCFQQXZVOGOFDTSIMDHSYMXDTTGODZPJMHRMNTEZFUSVQKNEPWDIJLKGNTUEYQCSKTMBOVJPPPAXFPYOEADTMTBBBEDCKYWKHBDOWILGWYRCOGAPTGHDYQWEKJUUVIIJKSVNOGMYFTFOOYGILHYMEQEFOVPIBIARGCQQQPYRENHXZWDVPCTUMGZQNEPFGFTIYDMDCBWGBFDYXAWWYLLVJTICREXIWVOQLRKFYQSBKXBRLPMXSXPNXMXDCZPONVBMFMVQRGPXSOZPIKUVAJABNLLAGWRXWEMIEWEFXGELZRJZGCRYLLRXTSKDFYKGVPZFKNGSYAEUXNWQBIMDEIYIKZQBBUQFYNBVVCYNFKIIPYBTEBUBPDQLJHGTVSREYDWIIXJKHATXFTDCYFGPSMZGWSUQJAXFAEYKNRRMNSWCMPWDFBLYMLAVMVNMZWFCQJXSBMUZGYPOVZWWFCTBBFWKVVHZMTLJMEARSPTYQYWCAHOVFGMOXXSPIAZMVDWNSKAOXWTWPNSSKJTKH
