Tamaño;Método;Tiempo CPU en µs;Memoria en KB;lcs
8;Recursividad;4380,600061267614;7,6220703125;
8;Divide y V.;133,7002031505108;9,431640625;
8;Dinámico tab;70,8999577909708;10,4228515625;
9;Recursividad;11267,200112342834;3,7109375;U
9;Divide y V.;179,50008623301983;7,080078125;X
9;Dinámico tab;82,60016329586506;7,98828125;U
10;Recursividad;19832,000136375427;1,044921875;IB
10;Divide y V.;317,5002057105303;3,53125;IB
10;Dinámico tab;104,70021516084671;4,89453125;IB
11;Recursividad;121616,99985153973;1,1943359375;CW
11;Divide y V.;245,60000747442245;3,8642578125;CW
11;Dinámico tab;109,79990474879742;5,01953125;CW
12;Recursividad;312064,2998255789;1,1943359375;PV
12;Divide y V.;263,59991170465946;3,107421875;PF
12;Dinámico tab;132,70019553601742;4,12890625;PV
13;Recursividad;1430466,5001109242;1,54296875;XRO
13;Divide y V.;431,89991265535355;3,20703125;XVO
13;Dinámico tab;153,4998882561922;4,255859375;XRO
14;Recursividad;5665171,50006257;1,3515625;WRIAK
14;Divide y V.;241,99998006224632;4,09765625;WQIAK
14;Dinámico tab;100,29994882643223;5,400390625;WRIAK
15;Recursividad;19489199,900068343;1,2490234375;GHQT
15;Divide y V.;1051,7998598515987;2,5576171875;GHQT
15;Dinámico tab;117,99996718764305;3,859375;GHQT
16;Recursividad;35292865,50008692;1,6533203125;EPIN
16;Divide y V.;403,2999277114868;3,8408203125;EPMN
16;Dinámico tab;124,50013309717178;6,15625;EPIN
17;Recursividad;170430999,49997848;1,5625;KGRUG
17;Divide y V.;332,29985274374485;3,2802734375;KGRUG
17;Dinámico tab;141,7999155819416;5,853515625;KGRUG
20;Recursividad;0;0,0;saltando...
20;Divide y V.;496,49993889033794;2,365234375;MIGDK
20;Dinámico tab;246,69989943504333;4,8955078125;WXFGK
40;Recursividad;0;0,0;saltando...
40;Divide y V.;1645,3999560326338;3,375;IDIUOHPNXLG
40;Dinámico tab;797,0000151544809;18,6748046875;IIQXOHPNXLG
50;Recursividad;0;0,0;saltando...
50;Divide y V.;1831,0998566448689;3,8359375;UKAQBTVZJTS
50;Dinámico tab;1455,599907785654;22,2841796875;KASQBTVZJDX
100;Recursividad;0;0,0;saltando...
100;Divide y V.;6813,800195232034;7,4013671875;UNRKEINNDCTPCTZWZZZMXJJXDCQYPVV
100;Dinámico tab;5065,599922090769;90,01171875;UNRKBINNSCEPCTZWQZBMXOJXDCQYPVV
200;Recursividad;0;0,0;saltando...
200;Divide y V.;26411,200175061822;11,32421875;UGNDWJPCAAVEAHMVUDNLEQMVDQMLKGEKHBJPQYTLSBTHBCBLREDDRHHVXINH
200;Dinámico tab;15089,99988436699;373,908203125;UNDZTPPJGNQDZOYEZWPHQHGKNMCYVFLDDGMDDMVOLJCJXEDDZLBHLUVPDHFH
1000;Recursividad;0;0,0;saltando...
